Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Support_Vectors,Calibrado,CV_F1
LinearSVC_LowReg,LinearSVC,0.6567004805125467,0.6406482861400894,0.6922363534916207,5.7771666049957275,0,True,0.6504777453782553
LinearSVC_Basic,LinearSVC,0.6566526660496903,0.6406110283159463,0.6922342808369506,6.067838430404663,0,True,0.65050158629159
LinearSVC_L1,LinearSVC,0.6566505269154087,0.6406855439642325,0.692197200878201,60.41230320930481,0,True,0.6505255746600056
LinearSVC_HighReg,LinearSVC,0.656507032223607,0.6405737704918033,0.6922149768092725,5.182664394378662,0,True,0.650561872244654
LinearSVC_Balanced,LinearSVC,0.6564814814814814,0.6406110283159463,0.6922282017908137,5.3677589893341064,0,True,0.6398519065948929
