Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,N_Estimators,Usar_Escalado,CV_F1
Voting_Soft,VotingClassifier,0.6896318395718636,0.6240312965722802,0.707017959813882,2229.27690243721,4,True,0.6802847643215314
GradientBoosting_Ensemble,GradientBoostingClassifier,0.6838210933186085,0.6799925484351714,0.7477790532784718,61.850008726119995,100,False,0.680723776838605
Voting_Linear,VotingClassifier,0.6798014648023727,0.6058122205663189,0.6798979736016477,3.0890440940856934,3,True,0.6719314376903804
Voting_Trees,VotingClassifier,0.6791426155373359,0.6748509687034278,0.741950514964111,19.939172744750977,4,False,0.6785051321556135
AdaBoost_Ensemble,AdaBoostClassifier,0.6691063456049184,0.6631147540983606,0.7254984351068271,59.806310415267944,100,False,0.6668806470997086
RandomForest_Ensemble,RandomForestClassifier,0.6665435609557927,0.6635991058122206,0.7281641329565407,5.256642580032349,100,False,0.6676438025502733
ExtraTrees_Bootstrap,ExtraTreesClassifier,0.6635744310769677,0.6540983606557377,0.7086153264288855,3.5836241245269775,100,False,0.6614645120853758
ExtraTrees_Basic,ExtraTreesClassifier,0.6605764464273068,0.6428464977645305,0.6960379800132076,2.188490867614746,100,False,0.6557744589325523
Voting_Hard,VotingClassifier,0.6582070612823766,0.6587928464977645,0.0,113.42077970504761,4,True,0.652644612273073
Bagging_KNN,BaggingClassifier,0.6561013102993924,0.6499254843517138,0.7124833973692867,4.84112811088562,20,True,0.6559633557688213
Bagging_LR,BaggingClassifier,0.6549841179199829,0.6398286140089419,0.6914359364890599,22.53609347343445,30,True,0.651259748497812
Bagging_SVM,BaggingClassifier,0.6546244833974633,0.638822652757079,0.6491534422593195,29.97474431991577,15,True,0.6510035356202437
ExtraTrees_More,ExtraTreesClassifier,0.6538884747808185,0.636698956780924,0.6856159499589813,3.1260159015655518,200,False,0.6523866767047974
Bagging_DT,BaggingClassifier,0.6517853804449429,0.6530178837555887,0.7108718722446334,22.47484254837036,50,False,0.6535379228530871
