Modelo,F1-Score,Accuracy,ROC-AUC,Tiempo,Error
XGBoost_Aggressive,0.7155734701355808,0.7108047690014904,0.789983522895477,1.9842877388000488,
LightGBM_Balanced,0.7000886001181335,0.697317436661699,0.7710997801296808,1.5719366073608398,
XGBoost_Regularized,0.6953727981092359,0.6926602086438152,0.7633904577335036,1.352104902267456,
HistGradientBoosting,0.69497727020734,0.6925111773472429,0.7654378543558789,4.40399694442749,
CatBoost_Optimized,0.6840798784780112,0.6823025335320417,0.7492195927279139,8.605449676513672,
LightGBM_Fast,0.6802947820612525,0.6783532041728763,0.7459848956041072,1.3208746910095215,
XGBoost_Conservative,0.680109516057422,0.6778688524590164,0.7445636518472709,1.4568276405334473,
GradientBoosting_Classic,0.6697561513847512,0.665461997019374,0.7301407537008111,84.4594931602478,
CatBoost_Simple,0.6655102417420188,0.6623323397913562,0.7276973022215679,4.838769912719727,
AdaBoost_Classic,,,,,The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.
AdaBoost_Conservative,,,,,The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.
