Modelo,F1-Score,Accuracy,ROC-AUC,Tiempo,Error
XGBoost_Aggressive,0.7149747781582533,0.7115871833084948,0.7894601470293436,2.3620798587799072,
LightGBM_Balanced,0.6991179835406134,0.69623695976155,0.770140930070943,2.2608470916748047,
HistGradientBoosting,0.695938691644145,0.6940014903129658,0.7655909696358647,8.289580821990967,
XGBoost_Regularized,0.6952454609067138,0.6916915052160953,0.7630398012376405,1.2913131713867188,
CatBoost_Optimized,0.6856106856106856,0.6834202682563338,0.7504545448382552,10.089583158493042,
XGBoost_Conservative,0.6791866913123845,0.6766766020864382,0.7439463758338378,1.1728379726409912,
LightGBM_Fast,0.6789588655633307,0.6769374068554397,0.7458470279498982,1.0379648208618164,
GradientBoosting_Classic,0.6693649275149017,0.6652011922503726,0.7302061228952859,64.56292986869812,
CatBoost_Simple,0.6655102417420188,0.6623323397913562,0.7276973022215679,3.1785049438476562,
AdaBoost_Classic,,,,,The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.
AdaBoost_Conservative,,,,,The 'algorithm' parameter of AdaBoostClassifier must be a str among {'SAMME'}. Got 'SAMME.R' instead.
