Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Support_Vectors,Calibrado,CV_F1
LinearSVC_L1,LinearSVC,0.6551564558043501,0.6390834575260804,0.6908924619850128,68.28533697128296,0,True,0.6509478844245592
LinearSVC_LowReg,LinearSVC,0.6550864953370826,0.6389716840536512,0.6909286417559433,8.384198427200317,0,True,0.6507260357249626
LinearSVC_Balanced,LinearSVC,0.6550619393421615,0.6389716840536512,0.6909266802355718,13.03641152381897,0,True,0.6397456824606299
LinearSVC_Basic,LinearSVC,0.6549674296087994,0.638859910581222,0.6909260356566396,7.839157342910767,0,True,0.6507561143350145
LinearSVC_HighReg,LinearSVC,0.6549416120763315,0.6388971684053651,0.6909098100490345,8.200377702713013,0,True,0.6509300697220934
