Modelo,Tipo,F1-Score,Accuracy,ROC-AUC,Tiempo,Usar_Escalado,CV_F1
KNN_Manhattan,KNeighborsClassifier,0.6665692470682789,0.6599478390461997,0.7253484093603442,0.061356544494628906,True,0.6627673552747136
QDA,QuadraticDiscriminantAnalysis,0.6662442473154139,0.627123695976155,0.6739399471591973,0.5324335098266602,True,0.6529446911386676
NB_Gaussian_Smooth,GaussianNB,0.6661840614377439,0.6048435171385991,0.6550221695144349,0.086639404296875,False,0.654094244885189
KNN_15,KNeighborsClassifier,0.6654693398819778,0.6599478390461997,0.7304189200720124,0.037271738052368164,True,0.6662260809220506
KNN_7_Dist,KNeighborsClassifier,0.6597404491105279,0.6522354694485842,0.7179458815307043,3.4660654067993164,True,0.6576489644758404
NB_Gaussian,GaussianNB,0.6562213189982955,0.6092399403874814,0.6536644362309283,0.16103506088256836,False,0.6441368723168294
LDA_Shrink,LinearDiscriminantAnalysis,0.6559920296043268,0.6397913561847988,0.6909330871278898,0.2972087860107422,True,0.6504659649396134
LDA,LinearDiscriminantAnalysis,0.6554981286758154,0.6399031296572281,0.6916374507561145,1.1716065406799316,True,0.6501880231678653
KNN_5,KNeighborsClassifier,0.6551460690508241,0.6468330849478391,0.701472180495615,0.02204728126525879,True,0.6530327740767164
KNN_3,KNeighborsClassifier,0.6474349658479872,0.6384500745156483,0.6873136013867427,0.04243326187133789,True,0.6469100558508514
NB_Multinomial,MultinomialNB,0.6407393410519806,0.6103949329359165,0.6580271826048327,0.022187471389770508,True,0.0
DT_Basic,DecisionTreeClassifier,0.6377880184331797,0.6339418777943369,0.6850671632354581,1.9142847061157227,False,0.6368237081330286
ExtraTree,ExtraTreeClassifier,0.637056013293637,0.6093889716840537,0.6485350076708227,0.08313131332397461,False,0.5887126455042394
KNN_10,KNeighborsClassifier,0.6357142857142857,0.6541728763040239,0.7191798556592175,0.03330087661743164,True,0.6314422637004414
GP,GaussianProcessClassifier,0.6331061771817982,0.6269001490312965,0.6762365763381164,23.252318859100342,True,0.0
DT_Entropy,DecisionTreeClassifier,0.6314033291624009,0.6378166915052161,0.685992909164981,2.337332248687744,False,0.6311261413995891
DT_Balanced,DecisionTreeClassifier,0.6291429836864251,0.6256333830104321,0.676073561770477,2.7702224254608154,False,0.6278508984267686
NB_Bernoulli,BernoulliNB,0.6166557947379865,0.6058867362146051,0.64735074669246,0.10340523719787598,False,0.6124308024241671
DT_Deep,DecisionTreeClassifier,0.615891132572432,0.6087928464977646,0.6446545313643329,3.0821533203125,False,0.6118387898620467
NB_Complement,ComplementNB,0.6146635420154001,0.6140461997019374,0.6580271826048327,0.02121877670288086,True,0.0
